ZIPCODE/COUNCIL DISTRICT,INTERNET USERS,INTERNET NON-USERS,HOME INTERNET ACCESS,SMARTPHONE USAGE RATES,PC (LAPTOP AND/OR DESKTOP) OWNERSHIP ,NON-USERS - Reasons for not using the internet: EXPENSE,NON-USERS - Reasons for not using the internet: PRIVACY CONCERNS,NON-USERS - Reasons for not using the internet: NOT INTERESTED,NON-USERS - Reasons for not using the internet: NO ONE TO TEACH ME,NON-USERS - Reasons for not using the internet: NOT ENOUGH TIME,NON-USERS - Reasons for not using the internet: TOO DIFFICULT,NON-USERS - Reasons for not using the internet: SOMEONE USES INTERNET FOR ME,NON-USERS - Reasons for not using the internet: DO NOT SPEAK ENGLISH WELL ENOUGH,NON-USERS - Help with Technology: I know enough to go online on my own,NON-USERS - Help with Technology: I would need someone to help me,NON-USERS - Help with Technology: I would not want to start using the Internet,NON-USERS - Interested in Free Training: YES
78617,88,13,65,73,69,88,100,88,13,100,13,86,0,13,13,75,13
78701,100,0,100,82,100,0,0,0,0,100,0,0,0,100,0,0,0
78702,80,20,81,83,73,17,42,50,0,0,0,39,0,0,58,42,17
78703,94,6,100,91,100,,,,,,,,,,,,
78704,99,1,94,95,99,0,86,83,83,0,86,83,71,14,71,14,83
78705,100,0,100,100,100,,,,,,,,,,,,
78717,100,0,100,90,100,0,100,0,0,0,0,0,0,100,0,0,100
78721,76,24,88,52,88,100,100,0,0,0,0,0,0,0,100,0,100
78722,100,0,100,88,100,,,,,,,,,100,0,0,
78723,93,7,92,85,94,63,82,55,70,30,36,73,27,18,9,73,36
78724,100,0,93,85,89,100,0,0,0,0,0,,100,33,67,0,80
78725,100,0,100,82,100,,,,,,,,,,,,
78726,100,0,100,100,100,,,,,,,,,,,,
78727,100,0,100,83,100,,,,,,,,,100,0,0,0
78729,100,0,98,95,100,,,,,,,,,,,,
78730,100,0,100,100,100,,,,,,,,,,,,
78731,100,0,94,88,100,,,,,,,,,,,,
78735,100,0,100,88,100,,,,,,,,,,,,
78736,86,14,100,83,100,,0,,,,,,0,,,,
78739,100,0,100,88,100,,,,,,,,,,,,
78741,82,18,76,85,76,63,31,38,63,0,31,46,31,6,94,0,31
78744,88,12,91,78,83,46,85,20,46,27,17,50,17,50,25,25,25
78745,80,20,90,85,90,42,85,25,58,79,67,71,48,67,19,15,19
78747,63,37,94,96,98,100,6,100,94,0,0,0,0,0,94,6,94
78748,100,0,100,94,100,,,,,,,,,100,0,0,
78749,100,0,100,98,100,0,0,0,0,0,0,0,0,100,0,0,0
78750,97,3,100,94,100,,,,,,,,,,,,
78751,84,16,83,72,84,100,100,100,0,70,100,30,70,0,0,100,0
78752,93,7,100,82,96,100,100,0,50,0,50,50,0,50,50,0,100
78753,96,4,96,83,96,100,27,80,80,80,80,0,70,73,27,0,65
78754,92,8,100,88,100,67,100,0,67,33,67,0,67,0,100,0,33
78756,100,0,95,81,100,,,,,,,,,,,,
78757,98,2,100,95,100,100,100,100,100,100,100,0,0,0,100,0,100
78758,93,7,87,78,93,86,83,57,83,72,57,40,0,0,29,71,29
78759,100,0,98,82,98,0,0,0,0,0,0,0,0,100,0,0,100
District 1,95,6,94,83,93,80,48,17,32,19,27,23,64,,,,58
District 2,86,15,83,79,81,66,83,52,40,55,18,60,12,,,,27
District 3,84,16,83,83,82,46,54,41,47,11,34,49,30,,,,40
District 4,94,6,93,81,94,92,68,54,71,55,63,31,29,,,,56
District 5,90,10,95,91,96,40,71,56,72,40,59,61,45,,,,52
District 6,100,0,100,94,100,,,,,,,,,,,,
District 7,97,3,96,84,98,78,60,64,73,69,65,11,18,,,,55
District 8,99,1,100,91,100,,,,,,,,,,,,
District 9,95,5,94,88,96,41,72,67,43,41,65,51,50,,,,36
District 10,99,1,98,91,100,,,,,,,,,,,,
