"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT05","WT06","WT08","WT09"
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-03-19","0.27",,,,"51","32","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-03-20","0.08",,,,"43","24","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-03-21","0.00",,,,"29","17",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-03-22","0.00",,,,"40","19",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-03-23","0.00",,,,"42","27",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-03-24","0.00",,,,"48","29","    1",,,,,"    1",
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-03-25","0.27",,,,"59","38","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-03-26","0.03",,,,"41","36","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-03-27","0.00",,,,"51","34","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-03-28","0.22",,,,"50","38","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-03-29","0.47",,,,"55","40","    1",,"    1",,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-03-30","0.08",,,,"40","37","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-03-31","0.00",,,,"43","35",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-04-01","0.00","0.0",,,"51","32",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-04-02","0.00",,,,"54","27","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-04-03","0.00",,,,"61","27",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-04-04","0.22",,,,"48","28","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-04-05","0.00",,,,"47","26",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-04-06","0.00",,,,"55","26","    1",,,,,"    1",
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-04-07","0.26",,,,"62","34","    1","    1","    1",,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-04-08","0.14",,,,"62","39","    1","    1",,"    1",,"    1",
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-04-09","0.00",,,,"44","33","    1",,,,,"    1",
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-04-10","0.00",,,,"38","29",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-04-11","0.00",,,,"57","28",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-04-12","0.00",,,,"51","41",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-04-13","0.21",,,,"53","30","    1",,,,,"    1",
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-04-14","0.01",,,,"36","26","    1",,,,,"    1",
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-04-15","0.00",,,,"37","19",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-04-16","0.00",,,,"42","24","    1",,,,,"    1",
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-04-17","0.00",,,,"49","29",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-04-18","0.02",,,,"58","31",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-04-19","0.10",,,,"48","28","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-04-20","0.22",,,,"58","26","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-04-21","0.04",,,,"37","28","    1",,,,,,"    1"
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-04-22","0.00",,,,"38","22",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-04-23","0.00",,,,"42","35",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-04-24","0.00",,,,"49","32","    1",,,,,"    1",
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-04-25","0.00",,,,"56","28",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-04-26","0.00",,,,"59","30",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-04-27","0.37",,,,"60","28","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-04-28","0.00",,,,"58","42","    1",,,,,"    1",
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-04-29","1.53",,,,"57","40","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-04-30","0.20",,,,"47","33","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-05-01","0.01",,,,"62","30","    1",,,,,"    1",
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-05-02","0.01",,,,"73","50",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-05-03","0.00",,,,"66","39",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-05-04","0.00",,,,"46","36",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-05-05","0.00",,,,"50","31",,,,,,"    1",
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-05-06","0.00",,,,"60","27",,,,,,,
