"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN"
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-03-19","0.03","0.3","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-03-20","0.43","0.4","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-03-21","0.10","1.4","1.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-03-22","0.00","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-03-23","0.00","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-03-24","0.00","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-03-25","0.00","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-03-26","0.33","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-03-27","0.00","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-03-28","0.09","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-03-29","0.73","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-03-30","0.18","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-03-31","0.08","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-04-01","0.00","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-04-02","0.00","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-04-03","0.00","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-04-04","0.01","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-04-05","0.28","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-04-06","0.00","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-04-07","0.00","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-04-08","0.32","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-04-09","0.14","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-04-10","0.05","0.5","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-04-11","0.04","0.4","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-04-12","0.00","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-04-13","0.21","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-04-14","0.05","0.5","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-04-15","0.03","0.3","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-04-16","0.03","0.4","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-04-17","0.00","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-04-18","0.00","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-04-19","0.17","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-04-20","0.00","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-04-21","0.31","1.1","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-04-22","0.03","0.3","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-04-23","0.00","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-04-24","0.02","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-04-25","0.00","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-04-26","0.00","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-04-27","0.00","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-04-28","0.46","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-04-29","0.15","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-04-30","1.74","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-05-01","0.31","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-05-02","0.02","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-05-03","0.01","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-05-04","0.00","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-05-05","0.00","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-05-06","0.00","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-05-07","0.00","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-05-08","0.01","0.1","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-05-09","0.03","0.3","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-05-10","0.02","0.2","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-05-11","0.03","0.3","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-05-12","0.00","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-05-13","0.00","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-05-14","0.03","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-05-15","0.23","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-05-16","0.00","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-05-17","0.00","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-05-18","1.78","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-05-19","0.51","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-05-20","0.00","0.0","0.0",,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2020-05-21","0.00","0.0","0.0",,
